"","Agrupamento_Decreto","Agrupamento Geral","Tipo Função Detalhada2","Subnível Função2"
"72","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"73","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"74","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"75","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"76","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"77","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"78","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"79","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"80","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"81","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"82","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"83","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"84","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"85","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"86","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"87","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"88","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"89","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"90","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"91","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"92","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"93","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"94","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"95","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"96","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"97","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"98","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"99","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"100","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"101","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"102","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"103","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"104","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"105","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"106","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"107","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"108","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"109","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"110","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"111","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"112","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"113","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"114","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"115","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"116","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"117","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"118","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"119","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"120","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"121","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"122","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"123","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"124","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"125","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"126","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"127","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"128","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"129","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"130","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"131","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"132","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"133","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"134","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"135","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"136","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"137","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"138","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"139","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"140","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"141","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"142","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"143","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"144","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"145","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"146","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"147","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"148","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"149","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"150","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"151","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"152","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"153","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"154","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
